Hour;Developer ID;Instance ID;Start time;Please specify your level of agreement with the occurrence of the refactoring indicated by the extension in the bottom.;List modifications related to the refactoring instance shown at the bottom, considering the three interactions (signature, shared variables, and calling main methods) and any other relevant relation or interaction.;End time;How difficult was it to identify and classify the refactoring-related modification?;How confident are you about your classification?;What factors made it challenging to determine the refactoring-related modifications?;Do you agree with the relationships proposed by the extension?;Is it possible to define a maximum distance value at which modifications are still exclusively related to the refactoring instance? If yes, what is the distance value?;Are there any refactoring-related not indicated by the extension (considering all distances) that you believe should be included? which ones?;Are there any refactoring-related indicated by the extension that you believe should not be included?;Have you changed your initial opinion about the refactoring-related modifications after observing the information provided by the extension?;Do you consider the visualization proposed by the extension reduces the effort to identify refactoring-related modifications?;
26/07/2024 18:28;10;T5-M3;19:18:00;3;"File: modules/activiti-engine/src/main/java/org/activiti/engine/impl/persistence/entity/TableDataManagerImpl.java Lines: [138-141]
Files: modules/activiti-engine/src/main/java/org/activiti/engine/impl/persistence/AbstractManager.java Lines: [71-73]
Files: [39-41]";19:23:00;5;5;There were many modifications in the commit and it involved renaming changes, which made it even more difficult.;3;2;File: modules/activiti-engine/src/main/java/org/activiti/engine/impl/persistence/entity/TableDataManagerImpl.java Lines: [139-141];File: modules/activiti-engine/src/main/java/org/activiti/engine/impl/persistence/entity/data/ProcessDefinitionDataManagerImpl.java Lines: [97-109] (Distance: 8);1;2;
26/07/2024 18:34;9;T6-M3;19:23:00;5;It was just a rename on a test name;19:26:00;1;5;It was not.;3;0;No;"""src/test/java/org/apache/ibatis/submitted/clearcache/PersonDAOTest.java Line [57-99]""";2;2;
26/07/2024 18:34;10;T5-D2;19:28:00;4;"File: modules/activiti-engine/src/main/java/org/activiti/engine/impl/jobexecutor/AcquireJobsRunnable.java Lines: [45-108]
File: modules/activiti-engine/src/main/java/org/activiti/engine/impl/jobexecutor/AcquireJobsRunnableImpl.java Lines: 45-108]
But the modification was very big, I couldn't evaluate all the lines.";19:31:00;4;3;The method is very large and it is not possible to be sure if it was just moved without spending a lot of time evaluating. Also, there are many other modifications.;3;no;I cannot evaluate it because the commit is too large.;I cannot evaluate it because the commit is too large.;1;2;
26/07/2024 18:41;9;T6-D2;19:34:00;5;"qmui/src/main/java/com/qmuiteam/qmui/widget/section/QMUIStickySectionAdapter.java
Linhes: 63";19:36:00;1;5;It was simple because the rename was in a function without implementation that was called in just one place.;4;0;"""qmui/src/main/java/com/qmuiteam/qmui/widget/section/QMUIStickySectionAdapter.java Lines: 63""";No change was categorized as related;1;1;
26/07/2024 18:41;10;T6-F3;19:36:00;2;"File: src/main/java/com/lmax/disruptor/RingBuffer.java Lines: 148
File: src/main/java/com/lmax/disruptor/RingBuffer.java Lines: [157-160]";19:39:00;2;4;There was not only a rename but also a change in parameters in the same renamed method.;1;0;File: src/main/java/com/lmax/disruptor/RingBuffer.java Lines: 154;File: src/main/java/com/lmax/disruptor/RingBuffer.java Lines: [161-185];1;1;
26/07/2024 18:48;10;T6-M3;19:41:00;5;File: src/test/java/org/apache/ibatis/submitted/clearcache/PersonDAOTest.java Lines: [102->55];19:43:00;2;4;There are other modifications besides the one highlighted, and the new name seems unrelated to the old one.;1;0;File: src/test/java/org/apache/ibatis/submitted/clearcache/PersonDAOTest.java Lines: [59,63];"File: src/test/java/org/apache/ibatis/submitted/clearcache/PersonDAOTest.java : (1) Listed the entire test as refactoring instead of just the modified parts; (2) Listed the removal of the find() test as ""Refactoring-related""";1;1;
26/07/2024 18:53;10;T6-D2;19:49:00;5;"File: qmui/src/main/java/com/qmuiteam/qmui/widget/section/QMUIStickySectionAdapter.java Lines: [60->63]
File: qmui/src/main/java/com/qmuiteam/qmui/widget/section/QMUIStickySectionAdapter.java Lines: [64->67]";19:51:00;3;4;There are many other modifications in the commit.;3;0;File: qmui/src/main/java/com/qmuiteam/qmui/widget/section/QMUIStickySectionAdapter.java Lines: [60->63];No;1;2;
27/07/2024 10:52;5;T2-M2;11:01:00;4;"File: relay/src/main/java/com/genymobile/relay/AbstractConnection.java
Line: 79";11:47:00;5;2;Not having in the commit who calls the method to check other implications in the code.;2;no;no;no;5;4;
27/07/2024 11:27;5;T2-D2;12:14:00;3;"File: core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
Lines: Complicado para identificar manualmente";12:21:00;5;1;Very large commit with different modifications.;3;no;no;no;1;3;
28/07/2024 05:16;3;T3-M2;02:14:00;5;"File:fe/fe-core/src/main/java/com/starrocks/lake/vacuum/AutovacuumDaemon.java
Lines: 125, [196-200]";02:16:00;1;5;None.;5;1;N/A;N/A;1;5;
28/07/2024 05:18;3;T4-F2;02:16:00;5;"File: src/java/main/org/apache/zookeeper/server/quorum/LearnerZooKeeperServer.java
Lines: [170-175]";02:18:00;1;5;None.;5;1;N/A;N/A;1;5;
28/07/2024 05:21;3;T4-M2;02:18:00;5;"File: jetcache-core/src/main/java/com/alicp/jetcache/external/AbstractExternalCache.java
Lines: [31:50]";02:20:00;1;5;None.;5;0;N/A;"""File: jetcache-core/src/main/java/com/alicp/jetcache/external/AbstractExternalCache.javaLines: 16, 19""";1;5;
28/07/2024 20:29;1;T2-M2;17:24:00;2;"File: relay/src/main/java/com/genymobile/relay/Router.java
Lines: [76-82], [92-94]";17:26:00;3;3;Not so clear if refactoring or just changing logic.;4;2;No;No;2;3;
28/07/2024 20:36;1;T2-D2;17:29:00;1;"File: core/src/main/java/com/google/googlejavaformat/java/JavaInputAstVisitor.java
Lines: 1384, 2862";17:33:00;3;5;Since the method was swapped for nothing, it was hard to understand what could be the side effects of this.;2;0;No;JavaDoc and line 1115;1;4;
28/07/2024 20:40;1;T3-F2;17:37:00;5;"File; MPChartLib/src/com/github/mikephil/charting/renderer/LegendRenderer.java
Lines: 186, 207, 240, 245, 279, 284, 316, 350, 355, 391, 396, [452-454]";17:39:00;1;5;None.;4;1;No;JavaDoc;1;3;
08/08/2024 18:53;11;T5-F2;19:48:00;5;"src/main/java/net/dv8tion/jda/core/events/user/UserActivityStartEvent.java [44,47]
src/main/java/net/dv8tion/jda/core/events/user/UserActivityEndEvent.java [44,47]
src/main/java/net/dv8tion/jda/core/events/user/update/GenericUserPresenceEvent.java [49:52]";19:50:00;2;5;Various subclasses received the change.;4;2;No, in the case of push down, only considers the method in one class;In the case of push down, only considers the method in one class;3;4;
08/08/2024 18:57;11;T6-F2;19:54:00;5;src/main/java/the/bytecode/club/bytecodeviewer/translation/Language.java [94];19:55:00;1;5;Root refactoring facilitated.;5;2;no;no;3;4;
